──────────────────────────────────────────────────────────────────────────
INFOMED Fetch Details by MED_ID — parallel HTTP-only
──────────────────────────────────────────────────────────────────────────
  filter:       ervp
  parallel:     3
  rateLimitMs:  300
  resume:       false
  limit:        (no limit)
  dryRun:       false

[1] Listagem carregada: 9656 rows
[2] Cross-match com ERP (Outros Medicamentos)...
(node:12380) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
(Use `node --trace-warnings ...` to show where the warning was created)
    ERP keys distintas: 2141
    Cross-match listagem: 5242 de 9656 (54.3%)

[3] Lançar 3 workers para 5242 MED_IDs...
  [w2 #4550] medId=53812 "Sildenafil toLife MG" ATC=G04BE03 CNPs=3   (341ms)
  [w1 #4575] medId=665405 "Itam MG" ATC=A10BH01 CNPs=3   (517ms)
  [w2 #4600] medId=682324 "Solifenacina + Tansulosina Tev" ATC=G04CA53 CNPs=1   (518ms)
  [w1 #4625] medId=42207 "Cialis" ATC=G04BE08 CNPs=1   (326ms)
  [w2 #4650] medId=593682 "Tadalafil Generis MG" ATC=G04BE08 CNPs=1   (366ms)
  [w1 #4675] medId=583309 "Tadalafil Teva MG" ATC=G04BE08 CNPs=7   (628ms)
  [w2 #4700] medId=52042 "Palexia retard" ATC=N02AX06 CNPs=3   (427ms)
  [w1 #4725] medId=685647 "Tapentadol Pharmakern retard M" ATC=N02AX06 CNPs=1   (392ms)
  [w3 #4750] medId=53056 "Telmisartan Mylan MG" ATC=C09CA07 CNPs=3   (434ms)
  [w2 #4775] medId=56206 "Telmisartan + Hidroclorotiazid" ATC=C09DA07 CNPs=9   (545ms)
  [w1 #4800] medId=39283 "Terbinafina Mylan MG" ATC=D01BA02 CNPs=2   (398ms)
  [w2 #4825] medId=52173 "Brilique" ATC=B01AC24 CNPs=3   (363ms)
  [w1 #4850] medId=35032 "Ticlopidina Ciclum 250 mg Comp" ATC=B01AC05 CNPs=4   (405ms)
  [w3 #4875] medId=4517 "Innohep" ATC=B01AB10 CNPs=3   (332ms)
  [w1 #4900] medId=8560 "Topamax" ATC=N03AX11 CNPs=3   (406ms)
  [w2 #4925] medId=44356 "Topiramato Tomix MG" ATC=N03AX11 CNPs=2   (426ms)
  [w2 #4950] medId=616082 "Tramadol Krka MG" ATC=N02AX02 CNPs=1   (410ms)
  [w3 #4975] medId=55189 "Tramadol + Paracetamol Bluepha" ATC=N02AJ13 CNPs=2   (375ms)
  [w1 #5000] medId=44743 "Trazodona Generis MG" ATC=N06AX05 CNPs=4   (660ms)
  [w1 #5025] medId=48612 "Decapeptyl LP" ATC=L02AE04 CNPs=1   (532ms)
  [w2 #5050] medId=52115 "Valaciclovir Aurobindo MG" ATC=J05AB11 CNPs=3   (533ms)
  [w1 #5075] medId=609723 "Vardenafil Ciclum MG" ATC=G04BE09 CNPs=1   (460ms)
  [w1 #5100] medId=41038 "Genexin" ATC=N06AX16 CNPs=4   (351ms)
  [w1 #5125] medId=44290 "Venlafaxina Mylan MG" ATC=N06AX16 CNPs=2   (529ms)
  [w1 #5150] medId=4691 "Isoptin Dc" ATC=C08DA01 CNPs=2   (411ms)
  [w1 #5175] medId=581321 "Brintellix" ATC=N06AX26 CNPs=2   (468ms)
  [w3 #5200] medId=53934 "Zolmitriptano Generis Phar MG" ATC=N02CC03 CNPs=4   (534ms)
  [w1 #5225] medId=9814 "Zoleptil" ATC=N05AX11 CNPs=20   (875ms)

──────────────────────────────────────────────────────────────────────────
RESUMO
──────────────────────────────────────────────────────────────────────────
  total processados:   5242
  com ATC:             5239
  com DCI:             5242
  com embalagens:      5242
  total CNPs:          15526
  falhas:              0
  elapsed:             1468.6s
  rate:                3.57/s
  output:              C:\projetos\spharm-mt\scripts\data\infomed-listagem-details.json
  mode:                LIVE
──────────────────────────────────────────────────────────────────────────
